"Performer_id","Name","FormationDate","Website","InstagramProfile"
1,"Alexandra Sanchez","2018-10-25","http://alexandrasanchez.com","https://instagram.com/alexandrasanchez"
2,"Jason Perez","2019-05-25","http://jasonperez.com","https://instagram.com/jasonperez"
3,"Tiffany Bell","2017-04-18","http://tiffanybell.com","https://instagram.com/tiffanybell"
4,"Elizabeth Walker","2016-04-30","http://elizabethwalker.com","https://instagram.com/elizabethwalker"
5,"Ethan Rivera","2015-06-03","http://ethanrivera.com","https://instagram.com/ethanrivera"
6,"Patrick Baker","2019-06-02","http://patrickbaker.com","https://instagram.com/patrickbaker"
7,"Hannah Adams","2016-12-01","http://hannahadams.com","https://instagram.com/hannahadams"
8,"Lauren Allen","2022-11-11","http://laurenallen.com","https://instagram.com/laurenallen"
9,"Christopher Jackson","2022-05-09","http://christopherjackson.com","https://instagram.com/christopherjackson"
10,"David Jones","2020-09-22","http://davidjones.com","https://instagram.com/davidjones"
11,"Katherine Edwards","2017-07-02","http://katherineedwards.com","https://instagram.com/katherineedwards"
12,"Sarah Brown","2017-05-13","http://sarahbrown.com","https://instagram.com/sarahbrown"
13,"James Martinez","2020-03-26","http://jamesmartinez.com","https://instagram.com/jamesmartinez"
14,"Andrea Rogers","2021-12-01","http://andrearogers.com","https://instagram.com/andrearogers"
15,"Kayla Bailey","2018-01-05","http://kaylabailey.com","https://instagram.com/kaylabailey"
16,"Megan Clark","2023-01-05","http://meganclark.com","https://instagram.com/meganclark"
17,"Jessica Wilson","2021-03-30","http://jessicawilson.com","https://instagram.com/jessicawilson"
18,"Timothy Green","2016-05-23","http://timothygreen.com","https://instagram.com/timothygreen"
19,"Gary Campbell","2019-10-27","http://garycampbell.com","https://instagram.com/garycampbell"
20,"Christina Roberts","2022-11-17","http://christinaroberts.com","https://instagram.com/christinaroberts"
21,"John Smith","2017-05-26","http://johnsmith.com","https://instagram.com/johnsmith"
22,"Brittany Phillips","2021-01-13","http://brittanyphillips.com","https://instagram.com/brittanyphillips"
23,"Lisa Garcia","2017-12-12","http://lisagarcia.com","https://instagram.com/lisagarcia"
24,"Amanda Thomas","2023-01-29","http://amandathomas.com","https://instagram.com/amandathomas"
25,"Jeffrey Evans","2019-05-27","http://jeffreyevans.com","https://instagram.com/jeffreyevans"
26,"Emily Johnson","2019-06-17","http://emilyjohnson.com","https://instagram.com/emilyjohnson"
27,"Michael Williams","2021-10-07","http://michaelwilliams.com","https://instagram.com/michaelwilliams"
28,"Danielle Parker","2022-07-30","http://danielleparker.com","https://instagram.com/danielleparker"
29,"Samantha Scott","2017-02-10","http://samanthascott.com","https://instagram.com/samanthascott"
30,"Brandon Morris","2017-09-09","http://brandonmorris.com","https://instagram.com/brandonmorris"
31,"Natalie Cooper","2017-09-11","http://nataliecooper.com","https://instagram.com/nataliecooper"
32,"Kevin Young","2018-08-09","http://kevinyoung.com","https://instagram.com/kevinyoung"
33,"Jennifer Davis","2021-11-20","http://jenniferdavis.com","https://instagram.com/jenniferdavis"
34,"Daniel Harris","2018-07-25","http://danielharris.com","https://instagram.com/danielharris"
35,"Brian Carter","2020-03-31","http://briancarter.com","https://instagram.com/briancarter"
36,"Nova","2019-02-19","http://nova.com","https://instagram.com/nova"
37,"Electric","2013-06-04","http://electric.com","https://instagram.com/electric"
38,"Jungle","2020-06-26","http://jungle.com","https://instagram.com/jungle"
39,"Bliss","2015-03-27","http://bliss.com","https://instagram.com/bliss"
